departamento;municipio;armas medios;cantidad;dia;mes;periodo;diasem
antioquia;medellin (ct);arma de fuego;1;11;12;2015;6
antioquia;santafe de antioquia;arma de fuego;1;11;12;2015;6
bogota d.c. (ct);bogota d.c. (ct);sin empleo de armas;1;11;12;2015;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;16;12;2015;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;22;12;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;23;12;2015;4
antioquia;la estrella;arma de fuego;1;24;12;2015;5
atlantico;malambo;arma de fuego;1;24;12;2015;5
cesar;valledupar (ct);sin empleo de armas;1;30;12;2015;4
risaralda;pereira (ct);arma de fuego;1;4;1;2016;2
cundinamarca;guatavita;artefacto explosivo/carga dinamita;1;4;1;2016;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;5;1;2016;3
magdalena;santa marta (ct);arma de fuego;1;7;1;2016;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;13;1;2016;4
